Date,91_days,181_days,273_days,364_days,3_year,5_year,7_year,10_year,15_year,base_rate,interbank_rate,inflation,lending_rate,reserve,mpc,10_year_minus_91_days,10_year_minus_3_year,real_rate,taylor_rule,policy_instrument,private_credit,exchange_rate,money_supply,money_rate
1/1/2010,5.2802,9.65,12.05,12.52,15.82,17.07,17.9,18.9,18.9,22.69,4.17,9.4,29.19,5,lower,13.6198,3.08,19.79,11.4,27.69,7904814.714,103.1301106,13135764.12,-6.372763562
1/8/2010,4.9863,8.98,11.02,11.51,15.82,17.07,17.9,18.9,18.9,22.67,4.2,9.4,29.17,5,lower,13.9137,3.08,19.77,11.4,27.67,7904814.714,103.1301106,13135765.12,7.61E-06
1/15/2010,5.1366,7.96,10.37,11.04,15.82,17.07,17.9,18.9,18.9,22.65,4.44,9.4,29.15,5,lower,13.7634,3.08,19.75,11.4,27.65,7904814.714,103.1301106,13135766.12,7.61E-06
1/22/2010,4.9168,7.46,10.67,11.7,15.82,17.07,17.9,18.9,18.9,22.67,4.58,9.4,29.17,5,hold,13.9832,3.08,19.77,11.4,27.67,7904814.714,103.1301106,13135767.12,7.61E-06
1/29/2010,6.4268,7.46,10.67,11.7,14.28,17.34,17.9,18.9,18.9,22.67,4.58,9.4,29.17,5,hold,12.4732,4.62,19.77,11.4,27.67,7904814.714,103.1301106,13135768.12,7.61E-06
2/5/2010,6.3659,7.69,9.91,10.58,14.28,17.34,17.9,18.9,18.9,22.65,2.42,9.2,29.15,5,lower,12.5341,4.62,19.95,11.2,27.65,8044492.401,101.6783273,13711415.57,7.61E-06
2/12/2010,5.6479,7.04,10.41,11.42,14.28,17.34,17.9,18.9,18.9,22.64,2.36,9.2,29.14,5,lower,13.2521,4.62,19.94,11.2,27.64,8044492.401,101.6783273,13711415.57,7.61E-06
2/19/2010,4.9666,6.77,9.2,9.91,14.28,17.34,17.9,18.9,18.9,22.62,2.04,9.2,29.12,5,lower,13.9334,4.62,19.92,11.2,27.62,8044492.401,101.6783273,13711415.57,7.61E-06
2/26/2010,3.9735,7.36,8.47,9.09,12.05,15.35,16.81,18.32,18.65,22.64,2.07,9.2,29.14,5,hold,14.3465,6.27,19.94,11.2,27.64,8044492.401,101.6783273,13711415.57,7.61E-06
3/5/2010,3.2108,6.67,8.35,8.9,12.05,15.35,16.81,18.32,18.65,22.64,2,10,29.14,5,hold,15.1092,6.27,19.14,12,27.64,7908660.65,104.3952035,13984449.27,1.991287483
3/12/2010,2.9275,6.04,7.56,8.26,12.05,15.35,16.81,18.32,18.65,22.64,1.59,10,29.14,5,hold,15.3925,6.27,19.14,12,27.64,7908660.65,104.3952035,13984449.27,1.991287483
3/19/2010,1.9965,5.26,6.66,7.96,12.05,15.35,16.81,18.32,18.65,22.59,1.66,10,29.09,5,lower,16.3235,6.27,19.09,12,27.59,7908660.65,104.3952035,13984449.27,1.991287483
3/26/2010,1.9647,4.81,6.09,7,9.5,12.33,16.81,18.32,18.65,22.58,1.57,10,29.08,5,lower,16.3553,8.82,19.08,12,27.58,7908660.65,104.3952035,13984449.27,1.991287483
4/2/2010,1.9408,4.21,5.63,6.2,9.5,12.33,16.81,18.32,18.65,22.16,1.81,9.5,28.66,5,lower,16.3792,8.82,19.16,11.5,27.16,7936803.127,104.322215,14685587.19,5.013697016
4/9/2010,1.8343,3.77,4.73,5.42,9.5,12.33,16.81,18.32,18.65,21.53,1.79,9.5,28.03,5,lower,16.4857,8.82,18.53,11.5,26.53,7936803.127,104.322215,14685587.19,5.013697016
4/16/2010,1.6823,2.96,3.43,4.33,7.6,9.08,16.81,18.32,18.65,21.34,1.61,9.5,27.84,5,lower,16.6377,10.72,18.34,11.5,26.34,7936803.127,104.322215,14685587.19,5.013697016
4/23/2010,2.2774,2.96,2.93,5.04,7.6,9.08,16.81,18.32,18.65,21.34,1.64,9.5,27.84,5,hold,16.0426,10.72,18.34,11.5,26.34,7936803.127,104.322215,14685587.19,5.013697016
4/30/2010,1.9779,2.6,2.7,4.86,7.6,9.08,16.81,18.32,18.65,21.34,1.49,9.5,27.84,5,hold,16.3421,10.72,18.34,11.5,26.34,7936803.127,104.322215,14685587.19,5.013697016
5/7/2010,2.756,2.47,2.68,4.2,9.5,9.49,14.72,15.69,16.23,21.21,1.64,8.9,27.71,5,lower,12.934,6.19,18.81,10.9,26.21,8298169.68,108.2366241,14980398.32,2.007486185
5/14/2010,3.6116,2.46,2.55,4.17,9.5,9.49,14.72,15.69,16.23,21.44,1.57,8.9,28.44,5,raise,12.0784,6.19,19.54,10.9,26.44,8298169.68,108.2366241,14980398.32,2.007486185
5/21/2010,3.9543,2.58,2.63,4.74,9.5,9.49,14.72,15.69,16.23,21.33,1.49,8.9,28.33,5,lower,11.7357,6.19,19.43,10.9,26.33,8298169.68,108.2366241,14980398.32,2.007486185
5/28/2010,4.3047,2.37,2.68,4.24,9.5,9.49,14.72,15.69,16.23,21.33,1.5,8.9,28.33,5,hold,11.3853,6.19,19.43,10.9,26.33,8298169.68,108.2366241,14980398.32,2.007486185
6/4/2010,4.4774,3.32,3.16,5.02,10.81,9.49,14.72,15.69,16.23,21.32,1.48,7.9,28.32,5,lower,11.2126,4.88,20.42,9.9,26.32,8425118.871,105.4589711,16066437.2,7.249732994
6/11/2010,4.4979,4.11,4.59,5.49,10.81,9.49,14.72,15.69,16.23,21.32,1.49,7.9,28.32,5,hold,11.1921,4.88,20.42,9.9,26.32,8425118.871,105.4589711,16066437.2,7.249732994
6/18/2010,4.5567,4.06,4.86,6.13,10.81,9.49,14.72,15.69,16.23,20.68,1.49,7.9,27.68,5,lower,11.1333,4.88,19.78,9.9,25.68,8425118.871,105.4589711,16066437.2,7.249732994
6/25/2010,4.8567,4,5.2,6.32,10.81,9.49,14.72,15.69,16.23,20.67,1.49,7.9,27.67,5,lower,10.8333,4.88,19.77,9.9,25.67,8425118.871,105.4589711,16066437.2,7.249732994
7/2/2010,4.8927,5.23,5.2,6.56,11.96,11,14.72,15.69,16.23,20.68,1.82,7.9,27.68,5,raise,10.7973,3.73,19.78,9.9,25.68,8314768.202,109.0104,16437012.61,2.306518873
7/9/2010,4.7518,6,5.75,6.77,11.96,11,14.72,15.69,16.23,20.67,1.79,7.9,27.67,5,lower,10.9382,3.73,19.77,9.9,25.67,8314768.202,109.0104,16437012.61,2.306518873
7/16/2010,4.8718,5.94,6.3,6.64,11.96,11,14.72,15.69,16.23,20.67,1.64,7.9,27.67,5,hold,10.8182,3.73,19.77,9.9,25.67,8314768.202,109.0104,16437012.61,2.306518873
7/23/2010,4.9011,5.99,6.57,6.66,11.96,11,14.72,15.69,16.23,20.55,1.75,7.9,27.55,5,lower,10.7889,3.73,19.65,9.9,25.55,8314768.202,109.0104,16437012.61,2.306518873
7/30/2010,4.8749,5.95,6.6,6.89,11.96,11,14.72,15.69,16.23,20.55,1.73,7.9,27.55,5,hold,10.8151,3.73,19.65,9.9,25.55,8314768.202,109.0104,16437012.61,2.306518873
8/6/2010,5.1707,5.81,6.64,7.23,11.88,12.36,13.92,14,15.08,20.1,1.71,7.7,27.1,5,lower,8.8293,2.12,19.4,9.7,25.1,8368008.063,108.3482067,16751305.33,1.912103639
8/13/2010,5.5422,6.38,6.56,7.3,11.88,12.36,13.92,14,15.08,20.11,1.67,7.7,27.11,5,raise,8.4578,2.12,19.41,9.7,25.11,8368008.063,108.3482067,16751305.33,1.912103639
